id,citekey,authors,year,venue,category,layer,task,knowledge_form,neural_comp,cert_tier,stage1_decision,stage2_decision,coder1_tier,coder2_tier,notes
1,ledvinka2019safety,Ledvinka et al.,2019,J. Aerospace Information Systems,primary-aviation,L1,safety mgmt,RDF/OWL ontology,none,A,include,include,A,A,"seed study"
2,nasa2024uam,Phojanamongkolkij et al.,2024,AIAA AVIATION,primary-aviation,L1,portfolio mgmt,project KG,graph alg.,A,include,include,A,A,""
3,ren2025rag,Ren et al.,2025,Expert Systems with Applications,primary-aviation,L2,accident causation,RAG corpus,LLM,B,include,include,B,B,""
4,xiang2025kg_accident,Xiang et al.,2025,Aerospace,primary-aviation,L1/2,accident analysis,KG+RAG,LLM,B,include,include,B,B,""
5,xu2024causation,Xu et al.,2024,Applied Sciences,primary-aviation,L1,accident causation,Causation KG,topological,A,include,include,A,A,""
6,chen2024llm_aviation_kg,Chen et al.,2024,Electronics,primary-aviation,L1/2,KG construction,Causation KG,LLM,B,include,include,B,B,""
7,li2024mastgnn,Li et al.,2024,TR Part C,primary-aviation,L3,complexity prediction,spatial graph,MAST-GNN,C,include,include,C,C,""
8,yin2025stdgcn,Yin et al.,2025,J. Aerospace Information Systems,primary-aviation,L3,congestion prediction,dynamic graph,STDGCN,C,include,include,C,C,""
9,xu2023sstgcnn,Xu et al.,2023,J. Aerospace Information Systems,primary-aviation,L3,trajectory prediction,spatial graph,S-STGCNN,C,include,include,C,C,""
10,keller2018atmonto,Keller,2017,NASA TM-2017-219526,primary-aviation,L1,ATMONTO ontology,OWL ontology,none,A,include,include,A,A,""
11,keller2017ontology,Keller,2016,IEEE DASC,primary-aviation,L1,aviation ontology,OWL ontology,none,A,include,include,A,A,""
12,eurocontrol_airm,EUROCONTROL,2022,AIRM v5.1,primary-aviation,L1,aviation information model,ATM ref model,none,A,include,include,A,A,"infrastructure"
13,munoz2015daidalus,Munoz et al.,2015,IEEE/AIAA DASC,primary-aviation,L1,detect-and-avoid,procedural logic,none,A,include,include,A,A,""
14,easa2023ai,EASA,2023,EASA AI Roadmap 2.0,primary-aviation,-,regulation,-,-,-,include,include,-,-,"standard"
15,easa2024concept,EASA,2024,EASA AI Concept Paper,primary-aviation,-,regulation,-,-,-,include,include,-,-,"standard"
16,rtca2011do178c,RTCA,2011,DO-178C,primary-aviation,-,regulation,-,-,-,include,include,-,-,"standard"
17,sae2010arp4754a,SAE,2010,ARP4754A,primary-aviation,-,regulation,-,-,-,include,include,-,-,"standard"
18,faa2023roadmap,FAA,2023,FAA AI Safety Assurance Roadmap,primary-aviation,-,regulation,-,-,-,include,include,-,-,"standard"
19,eurocae2024wg114,EUROCAE/SAE,2024,WG-114/G-34 Report,primary-aviation,-,regulation,-,-,-,include,include,-,-,"standard"
20,lykou2019smart,Lykou et al.,2019,Sensors,primary-aviation,L1,airport cybersecurity,threat model,none,-,include,include,-,-,"adjacent"
21,corus2019,CORUS,2019,SESAR,primary-aviation,-,concept of operations,-,-,-,include,include,-,-,"ConOps"
22,kopardekar2016unmanned,Kopardekar et al.,2016,AIAA,primary-aviation,-,UTM ConOps,-,-,-,include,include,-,-,"ConOps"
23,thipphavong2018urban,Thipphavong et al.,2018,AIAA,primary-aviation,-,UAM airspace integration,-,-,-,include,include,-,-,"concept"
24,tan2021traffic,Tan et al.,2021,Sustainability,primary-adjacent,L1,urban traffic KG,domain KG,none,A,include,include,A,A,"adjacent transport"
25,ji2022survey,Ji et al.,2022,IEEE TNNLS,foundational,-,KG survey,-,-,-,include,include,-,-,""
26,hogan2021knowledge,Hogan et al.,2021,ACM Comp. Surv.,foundational,-,KG survey,-,-,-,include,include,-,-,""
27,rossi2021kge,Rossi et al.,2021,ACM TKDD,foundational,-,KG embedding survey,-,-,-,include,include,-,-,""
28,chen2020kgreview,Chen et al.,2020,Expert Systems with Applications,foundational,-,KG reasoning review,-,-,-,include,include,-,-,""
29,garcez2023neurosymbolic,d'Avila Garcez & Lamb,2023,AI Review,foundational,-,neuro-symbolic survey,-,-,-,include,include,-,-,""
30,hitzler2022neuro,Hitzler & Sarker,2022,IOS Press,foundational,-,neuro-symbolic state of the art,-,-,-,include,include,-,-,""
